TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ITUB3;20,23;4,25;6,81;1,34;0,10;68,27;23,46;14,91;4,33;4,62;;;1,02;;-0,10;;19,75;1,43;;0,07;0,92;0,10;6,04;2,52;18.689.637,72;15,06;2,97;0,12;211.664.856.263,49
ITUB4;23,02;3,73;7,75;1,53;0,11;68,27;23,46;14,91;4,93;4,62;;;1,16;;-0,11;;19,75;1,43;;0,07;0,92;0,10;6,04;2,52;713.518.641,75;15,06;2,97;0,14;211.664.856.263,49
JALL3;9,64;3,04;12,86;2,51;0,82;60,93;56,75;17,35;3,93;4,92;0,98;0,62;2,23;2,63;-1,69;2,58;19,51;6,40;21,90;0,33;0,67;0,37;;;6.827.656,56;3,85;0,75;0,34;2.861.508.753,61
JBSS3;36,09;8,35;4,76;1,84;0,44;17,75;8,40;5,47;3,10;5,29;2,16;1,29;0,26;3,12;-0,74;1,53;38,74;9,20;15,10;0,24;0,74;1,68;10,65;31,19;338.220.799,14;19,61;7,60;0,01;86.527.436.476,50
JFEN3;1,09;;-0,65;-0,24;0,09;181,16;1.823,01;1.677,25;-0,60;-3,53;-2,94;;;-0,84;-0,61;0,88;-36,81;-14,31;-1.644,19;-0,39;1,46;-0,01;-44,72;;1.039.423,81;-4,60;-1,69;0,01;113.620.120,20
JHSF3;5,47;7,20;4,08;0,84;0,47;70,88;54,24;47,92;3,61;4,68;1,05;0,25;1,96;2,52;-0,65;2,87;20,69;11,43;15,12;0,55;0,44;0,24;13,16;53,36;22.713.115,19;6,47;1,34;0,11;3.774.233.941,50
JOPA3;27,00;3,17;17,30;0,52;0,13;19,41;3,11;0,88;4,89;12,31;7,40;0,79;0,15;0,35;-0,44;2,12;3,01;0,75;2,53;0,25;0,67;0,86;8,16;-7,34;22.858,60;51,75;1,56;-0,26;286.774.691,00
JOPA4;35,00;2,69;22,43;0,68;0,17;19,41;3,11;0,88;6,34;12,31;7,40;0,79;0,20;0,46;-0,57;2,12;3,01;0,75;2,53;0,25;0,67;0,86;8,16;-7,34;5.690,00;51,75;1,56;-0,34;286.774.691,00
JSLG3;6,61;3,63;7,62;1,40;0,30;-47,57;52,92;48,66;7,00;16,86;9,90;1,98;3,71;2,03;-0,44;1,88;18,36;3,97;4,04;0,22;0,78;0,08;-13,95;39,50;3.095.446,67;4,70;0,86;1,05;1.867.530.628,56
KEPL3;34,87;4,80;11,65;1,54;0,79;22,84;11,03;8,60;9,07;5,80;-3,23;-0,55;1,00;2,93;-2,71;1,62;13,23;6,82;11,67;0,52;0,48;0,79;-1,00;70,89;9.193.286,89;22,64;3,00;0,35;1.053.785.157,60
KLBN11;24,32;1,51;8,22;5,05;0,67;42,35;31,17;21,86;5,77;10,01;4,22;3,70;1,80;3,15;-1,02;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;128.071.225,94;4,80;2,95;-0,04;27.370.373.507,23
KLBN3;5,64;1,30;9,58;5,88;0,78;42,35;31,17;21,86;6,72;10,01;4,22;3,70;2,09;3,67;-1,19;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;570.752,92;0,96;0,59;-0,05;27.370.373.507,23
KLBN4;4,68;1,57;7,90;4,85;0,64;42,35;31,17;21,86;5,54;10,01;4,22;3,70;1,73;3,02;-0,98;2,60;61,39;8,11;9,77;0,13;0,84;0,37;16,01;;2.456.279,86;0,96;0,59;-0,04;27.370.373.507,23
KRSA3;4,10;;125,57;2,55;0,83;27,69;17,75;2,50;17,67;22,91;5,27;0,76;3,14;5,66;-1,20;1,92;2,03;0,66;4,45;0,33;0,67;0,27;;;763.577,25;1,61;0,03;;3.137.347.592,59
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;21.233.085,63;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;2,89;0,15;0,63;0,59;3,50;18,61;138.773.051,46;3,46;0,31;-46,75;12.391.135.396,59
LAND3;18,71;;81,77;2,69;1,77;89,48;65,41;35,47;44,34;45,76;1,28;0,08;29,00;-179,74;-1,98;0,91;3,28;2,17;3,54;0,66;0,34;0,06;;;847.994,06;7,08;0,23;;1.834.085.895,72
LAVV3;5,17;13,18;5,20;0,79;0,55;41,62;31,28;30,43;5,06;2,26;-2,82;-0,44;1,58;1,04;-1,75;4,42;15,17;10,64;13,10;0,70;0,26;0,35;;;4.546.233,03;6,55;0,99;0,02;1.078.430.685,36
LCAM3;23,98;1,71;17,29;2,55;0,80;36,66;25,62;14,30;9,65;14,62;4,96;1,31;2,47;25,59;-1,00;1,19;14,75;4,64;7,56;0,31;0,69;0,32;51,17;106,93;75.901.499,78;9,38;1,38;0,12;12.184.069.393,45
LEVE3;29,34;3,15;7,00;2,18;1,29;29,10;19,99;15,56;5,45;5,41;-0,08;-0,03;1,09;4,58;-2,89;2,03;31,22;18,40;28,76;0,59;0,41;1,18;-0,25;21,71;11.738.537,47;13,40;4,18;0,01;3.788.950.005,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;10,16;4,32;5,00;0,43;0,14;21,05;11,52;5,02;2,18;6,33;4,13;0,82;0,25;0,87;-0,20;2,05;8,68;2,80;6,86;0,32;0,68;0,56;3,68;82,18;29.092.261,47;23,49;2,04;-0,01;3.833.594.283,96
LINX3;37,40;1,51;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;105.252.650,44;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;63,00;3,21;28,96;3,59;3,10;;;;32,01;28,51;-3,50;-0,39;;12,10;-4,83;3,51;12,39;10,71;10,60;0,86;0,14;0,00;;36,97;21.976,04;17,56;2,18;-1,34;741.188.007,00
LJQQ3;8,84;1,60;21,25;3,12;0,63;40,16;9,25;3,95;9,09;8,27;-0,82;-0,28;0,84;2,15;-2,01;1,76;14,69;2,99;17,22;0,20;0,80;0,76;;;25.916.809,92;2,84;0,42;0,36;1.657.518.880,65
LLIS3;1,24;;-0,05;0,64;0,04;50,41;-50,70;-233,84;-0,21;-4,29;-4,07;12,24;0,11;1,26;-0,05;1,16;-1.386,10;-87,33;-24,46;0,06;0,94;0,37;-12,82;;624.539,50;1,94;-26,89;0,00;85.375.027,96
LOGG3;27,87;1,17;8,99;0,86;0,55;98,64;248,79;215,12;7,77;10,44;2,67;0,30;19,34;5,03;-0,69;2,20;9,55;6,13;7,01;0,64;0,35;0,03;8,78;79,04;20.597.490,47;32,44;3,10;0,07;2.841.046.072,74
LOGN3;20,56;;10,37;4,97;0,97;21,54;19,14;15,77;8,54;11,70;3,16;1,84;1,63;4,20;-1,68;2,23;47,93;9,39;11,81;0,20;0,80;0,60;4,71;;18.244.915,69;4,14;1,98;-0,04;2.176.094.085,12
LPSB3;2,47;;6,61;1,67;0,84;83,68;25,67;25,04;6,45;4,10;-2,27;-0,59;1,66;3,71;-1,41;2,25;25,32;12,66;21,40;0,50;0,51;0,51;-3,97;;3.406.563,67;1,49;0,38;-0,01;362.984.392,26
LREN3;25,77;1,82;44,83;2,68;1,31;57,61;8,54;5,81;30,50;27,50;-2,90;-0,25;2,61;3,60;-3,64;2,31;5,98;2,92;6,00;0,49;0,51;0,50;4,17;-0,38;294.637.103,28;9,61;0,57;-0,82;25.381.976.926,93
LTEL3B;86,61;4,99;12,34;5,32;5,31;;;;12,37;11,96;-0,41;-0,18;;29,15;-6,50;139,06;43,09;43,04;42,89;1,00;0,00;0,00;;;;16,29;7,02;0,03;18.664.056.853,83
LUPA3;5,79;;1,73;1,26;0,33;27,26;14,63;118,45;14,04;24,28;10,22;0,92;2,05;0,99;-0,65;2,96;72,63;18,86;3,45;0,26;0,74;0,16;-27,27;;11.033.940,97;4,57;3,32;-0,01;168.003.376,31
LUXM3;0,00;;0,00;0,00;0,00;30,30;16,64;12,39;0,00;11,16;-0,46;-0,09;0,00;0,00;0,00;1,83;14,89;9,57;14,03;0,64;0,36;0,77;7,04;12,49;;19,69;2,93;0,00;237.607.020,00
LUXM4;81,99;1,96;27,97;4,16;2,68;30,30;16,64;12,39;20,83;11,16;-0,46;-0,09;3,47;21,88;-3,66;1,83;14,89;9,57;14,03;0,64;0,36;0,77;7,04;12,49;190.115,12;19,69;2,93;0,95;237.607.020,00
LVTC3;14,72;;13,14;1,54;0,62;28,57;12,98;7,30;7,39;6,01;-1,36;-0,28;0,96;2,43;-1,63;1,69;11,70;4,70;16,40;0,40;0,60;0,64;;;3.283.545,58;9,58;1,12;;944.993.906,09
LWSA3;8,19;;11.371,35;1,63;1,14;45,64;-10,87;0,06;-63,55;-40,39;22,46;-0,57;6,91;2,84;-2,50;3,82;0,01;0,01;-3,09;0,70;0,30;0,17;;;128.283.125,25;5,00;0,00;-116,49;4.745.588.838,72
MAPT3;37,00;;-197,67;-5,76;43,98;;;;-198,83;-156,75;0,00;;;-8.499,78;-43,98;0,00;-2,92;-22,25;2,90;-7,63;8,63;0,00;;;14.800,00;-6,42;-0,19;171,97;26.804.939,40
MAPT4;21,51;;-114,92;-3,35;25,57;;;;-115,59;-156,75;0,00;;;-4.941,36;-25,57;0,00;-2,92;-22,25;2,90;-7,63;8,63;0,00;;;10.642,14;-6,42;-0,19;99,98;26.804.939,40
MATD3;14,26;;41,86;3,55;2,17;37,69;23,95;14,75;25,78;20,33;-5,20;-0,72;6,17;3,79;-6,86;6,09;8,47;5,18;8,12;0,61;0,39;0,35;;;12.294.553,22;4,01;0,34;;5.379.380.581,47
MBLY3;4,97;;-5,76;0,81;0,53;38,99;-11,34;-12,88;-6,54;-4,55;1,87;-0,23;0,74;0,99;-1,79;4,06;-13,98;-9,15;-9,57;0,65;0,35;0,71;;;1.522.506,94;6,17;-0,86;-0,01;519.670.731,52
MDIA3;22,69;0,88;13,64;1,11;0,73;28,87;5,64;7,66;18,51;18,45;-0,08;0,00;1,04;2,39;-1,30;3,20;8,17;5,32;3,68;0,65;0,35;0,69;9,43;-1,39;26.746.632,56;20,34;1,66;-0,44;7.685.130.000,00
MDNE3;5,93;;6,61;0,47;0,20;32,93;8,66;11,40;8,70;7,82;-0,91;-0,05;0,75;0,95;-0,37;1,93;7,16;3,09;3,68;0,43;0,57;0,27;-8,09;15,84;1.995.695,58;12,52;0,90;-0,04;504.361.687,50
MEAL3;2,28;;-8,30;0,56;0,22;30,71;-1,33;-4,76;-29,72;-37,60;-7,88;0,15;0,40;1,84;-0,30;1,81;-6,76;-2,63;-1,74;0,39;0,61;0,55;-6,51;;4.894.504,14;4,04;-0,27;0,10;650.058.833,10
MEGA3;11,94;;;;;;;;;;;;;;;;;;;;;;;;26.587.924,15;;0,00;;6.600.308.919,99
MELK3;3,89;7,28;15,07;0,69;0,41;22,59;6,80;7,86;17,42;6,35;-10,98;-0,43;1,18;0,74;-3,51;2,69;4,56;2,72;2,66;0,60;0,38;0,35;;;2.504.069,72;5,66;0,26;2,94;804.841.349,67
MERC3;25,00;;160,17;1,82;1,38;78,78;6,07;5,69;150,08;112,11;;;9,11;5,95;-2,27;2,45;1,13;0,86;;0,76;0,24;0,15;-30,32;;7.560,00;13,76;0,16;-2,20;336.317.170,75
MERC4;10,45;4,95;66,95;0,76;0,58;78,78;6,07;5,69;62,73;112,11;;;3,81;2,49;-0,95;2,45;1,13;0,86;;0,76;0,24;0,15;-30,32;;5.661,25;13,76;0,16;-0,92;336.317.170,75
MGEL3;19,13;;0,53;-0,41;0,19;16,38;26,47;25,79;0,51;3,47;3,04;;0,14;0,50;-0,50;2,44;-77,44;35,34;34,77;-0,46;1,46;1,37;5,03;;;-46,97;36,38;0,00;93.427.909,09
MGEL4;14,50;;0,40;-0,31;0,14;16,38;26,47;25,79;0,39;3,47;3,04;;0,10;0,38;-0,38;2,44;-77,44;35,34;34,77;-0,46;1,46;1,37;5,03;;20.970,31;-46,97;36,38;0,00;93.427.909,09
MGLU3;6,50;0,24;61,45;4,05;1,44;23,92;2,85;2,00;43,08;43,58;0,24;0,02;1,23;6,75;-4,13;1,49;6,60;2,35;5,82;0,36;0,64;1,18;26,58;;887.924.226,94;1,61;0,11;0,55;44.340.449.391,36
MILS3;5,81;3,22;22,05;1,35;1,01;50,76;16,50;9,96;13,31;12,28;-0,97;-0,10;2,20;3,62;-1,67;3,38;6,11;4,57;5,62;0,75;0,25;0,46;-2,55;;7.778.573,31;4,31;0,26;-0,04;1.457.535.259,40
MLAS3;6,82;;7,11;1,43;0,74;34,04;16,45;15,46;6,68;5,97;-0,67;-0,14;1,10;1,33;-9,72;2,50;20,12;10,37;16,69;0,52;0,48;0,67;;;11.116.318,44;4,77;0,96;;5.563.255.945,50
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;6.294.058,38;-129,88;-6,46;0,03;90.834.562,00
MNDL3;35,00;;2,22;-0,75;0,07;36,44;13,75;5,87;0,95;3,82;2,87;;0,13;-0,15;-0,11;0,40;-33,94;3,21;52,02;-0,09;1,09;0,55;4,94;;86.963,45;-46,53;15,79;-0,01;86.809.100,00
MNPR3;5,85;;4,82;-0,12;0,16;24,13;13,99;2,83;0,98;1,00;0,01;;0,14;-0,11;-0,30;0,23;-2,38;3,35;-8,53;-1,41;2,41;1,19;4,62;;60.902,17;-50,84;1,21;-0,03;41.890.590,00
MOAR3;401,00;12,52;7,94;3,72;2,39;364,49;-110.498,91;-112.118,84;8,05;7,82;-0,23;-0,11;;11,85;-3,39;3,15;46,81;30,11;31,11;0,64;0,36;0,00;94,65;45,17;1.348.274,39;107,93;50,52;-0,01;4.912.739.621,00
MODL11;11,82;1,80;31,34;2,10;0,45;174,42;43,56;25,70;18,49;18,32;;;8,05;;-0,60;;6,71;1,43;;0,21;0,79;0,06;;;11.822.940,33;5,62;0,38;;2.746.380.000,00
MODL3;4,50;1,57;35,82;2,40;0,51;174,42;43,56;25,70;21,14;18,32;;;9,21;;-0,69;;6,71;1,43;;0,21;0,79;0,06;;;134.028,89;1,87;0,13;;2.746.380.000,00
MODL4;3,66;1,93;29,14;1,96;0,42;174,42;43,56;25,70;17,19;18,32;;;7,49;;-0,56;;6,71;1,43;;0,21;0,79;0,06;;;181.799,69;1,87;0,13;;2.746.380.000,00
MOSI3;7,61;0,01;29,70;1,44;1,34;89,47;6,23;14,75;70,33;30,26;-39,51;-0,81;4,38;1,76;-7,73;13,23;4,84;4,52;0,25;0,93;0,07;0,31;;;5.725.089,83;5,27;0,26;;952.000.265,60
MOVI3;15,05;2,48;7,49;1,71;0,28;39,35;29,43;15,85;4,03;8,27;4,24;1,80;1,19;0,76;-0,53;4,10;22,86;3,68;6,06;0,16;0,84;0,23;27,48;61,05;36.448.676,03;8,77;2,00;0,00;5.430.908.269,14
MRFG3;23,40;12,19;3,33;3,33;0,34;18,70;13,28;6,10;1,53;2,90;1,36;2,95;0,20;1,81;-0,75;1,54;99,93;10,32;24,18;0,10;0,86;1,69;28,12;;136.031.109,69;7,04;7,03;0,03;16.343.984.743,32
MRSA3B;38,70;0,74;15,30;2,66;1,04;35,76;37,29;19,79;8,12;9,95;1,20;0,39;3,03;31,14;-1,30;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;13.499,00;14,55;2,53;0,08;14.178.721.016,49
MRSA5B;45,43;0,70;17,96;3,12;1,22;35,76;37,29;19,79;9,53;9,95;1,20;0,39;3,55;36,55;-1,53;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;9.086,00;14,55;2,53;0,09;14.178.721.016,49
MRSA6B;36,00;0,88;14,23;2,47;0,96;35,76;37,29;19,79;7,55;9,95;1,20;0,39;2,82;28,96;-1,21;1,19;17,39;6,77;13,27;0,39;0,61;0,34;2,59;23,80;4.000,00;14,55;2,53;0,07;14.178.721.016,49
MRVE3;11,89;3,64;8,20;0,96;0,29;27,16;13,58;10,13;6,12;10,08;3,99;0,62;0,83;1,11;-0,57;2,17;11,69;3,56;6,75;0,30;0,68;0,35;6,89;5,06;60.883.712,47;12,40;1,45;0,21;5.726.308.549,65
MSPA3;48,50;;-9,34;0,39;0,23;25,32;-33,39;-25,29;-7,07;-8,39;-1,36;0,07;2,36;25,35;-0,24;1,21;-4,14;-2,42;-6,62;0,59;0,41;0,10;-2,17;;19.400,00;125,46;-5,19;0,20;308.706.266,50
MSPA4;46,00;;-8,85;0,37;0,21;25,32;-33,39;-25,29;-6,71;-8,39;-1,36;0,07;2,24;24,05;-0,23;1,21;-4,14;-2,42;-6,62;0,59;0,41;0,10;-2,17;;18.400,00;125,46;-5,19;0,19;308.706.266,50
MSRO3;702,50;;2.759,27;319,27;76,41;44,68;27,42;6,94;698,76;704,69;5,93;2,71;191,62;-315,18;-87,89;0,35;11,57;2,77;10,39;0,24;0,76;0,40;14,18;;;2,20;0,25;2,87;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;7,93;0,02;-5,51;0,00;4.799,14;4.416,90;;0,00;0,00;0,00;0,58;-10,94;-4,80;-9,87;-0,44;1,44;0,87;0,14;;;-154,92;-16,95;0,00;6.437.448,96
MTIG4;40,01;;-2,36;-0,26;0,11;7,93;0,02;-5,51;573,37;4.799,14;4.416,90;;0,13;-0,29;-0,25;0,58;-10,94;-4,80;-9,87;-0,44;1,44;0,87;0,14;;11.435,14;-154,92;-16,95;0,02;6.437.448,96
MTRE3;6,95;8,14;20,78;0,74;0,49;34,67;7,61;6,33;17,26;10,71;-6,45;-0,28;1,31;0,97;-1,77;3,33;3,58;2,37;2,92;0,66;0,34;0,37;;;4.302.993,92;9,34;0,33;1,62;729.846.258,00
MTSA3;63,86;3,22;11,14;1,88;1,28;28,63;13,19;9,74;8,23;6,55;-0,08;-0,02;1,09;2,61;-5,95;2,67;16,87;11,49;13,31;0,68;0,32;1,18;10,62;25,85;9.450,00;33,98;5,73;1,40;469.941.272,20
MTSA4;40,19;5,62;7,01;1,18;0,81;28,63;13,19;9,74;5,18;6,55;-0,08;-0,02;0,68;1,64;-3,74;2,67;16,87;11,49;13,31;0,68;0,32;1,18;10,62;25,85;193.964,47;33,98;5,73;0,88;469.941.272,20
MULT3;19,57;2,55;30,48;1,82;1,08;77,24;42,09;33,73;24,42;28,59;4,16;0,31;10,28;11,96;-1,30;2,12;5,98;3,54;4,64;0,59;0,41;0,10;0,31;1,30;137.287.935,39;10,76;0,64;-0,51;11.780.920.758,75
MWET3;22,50;;0,27;-0,96;0,20;16,06;29,73;75,13;0,68;1,36;0,81;;0,20;25,48;-0,35;1,02;-356,36;74,30;1.091,33;-0,21;1,22;0,99;-0,73;;7.750,00;-23,33;83,15;0,00;37.661.454,90
MWET4;16,20;;0,19;-0,69;0,14;16,06;29,73;75,13;0,49;1,36;0,81;;0,15;18,35;-0,25;1,02;-356,36;74,30;1.091,33;-0,21;1,22;0,99;-0,73;;53.903,56;-23,33;83,15;0,00;37.661.454,90
MYPK3;14,09;7,16;6,89;0,53;0,15;12,45;8,02;2,46;2,11;6,61;4,52;1,13;0,17;1,27;-0,29;1,32;7,70;2,17;6,85;0,28;0,69;0,88;5,05;44,74;20.578.038,97;26,50;2,04;-0,03;2.139.776.845,92
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;47,20;42,21;8,88;0,00;3,69;3,69;15,65;0,00;0,00;0,00;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;0,00;0,00
NEMO5;52,97;2,40;2,75;2,45;0,08;47,20;42,21;8,88;0,58;3,69;3,69;15,65;0,24;0,44;-0,11;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;-0,02;0,00
NEMO6;0,00;;0,00;0,00;0,00;47,20;42,21;8,88;0,00;3,69;3,69;15,65;0,00;0,00;0,00;3,32;89,23;2,94;13,97;0,03;0,88;0,33;24,40;;;21,60;19,27;0,00;0,00
NEOE3;15,73;2,78;4,46;0,80;0,24;24,36;18,37;10,27;2,49;6,38;3,88;1,25;0,46;-12,02;-0,30;0,92;17,96;5,29;10,56;0,29;0,70;0,51;16,97;69,16;32.308.816,64;19,65;3,53;0,06;19.190.134.490,88
NGRD3;2,67;0,47;30,57;1,34;0,82;65,43;12,81;8,75;20,88;13,19;-7,53;-0,48;2,67;2,51;-1,64;2,83;4,37;2,67;3,83;0,61;0,39;0,31;;;4.950.306,94;1,98;0,09;0,42;627.681.927,90
NINJ3;4,56;;-6,18;0,78;0,71;89,93;-74,18;-64,86;-5,40;1,88;7,31;-1,06;4,01;0,79;-69,09;11,61;-12,63;-11,55;-14,44;0,91;0,09;0,18;;;4.265.018,53;5,80;-0,73;;228.521.989,15
NORD3;9,69;;-64,55;-0,46;3,65;90,91;96,21;-50,20;33,68;53,42;19,74;;32,41;-1,38;-3,99;0,03;-0,71;-5,66;-1,84;-8,03;9,03;0,11;;;6.567,25;-21,28;-0,15;0,16;64.162.199,34
NRTQ3;0,00;;0,00;0,00;0,00;30,52;19,50;12,96;0,00;-0,05;-0,05;-0,02;0,00;0,00;0,00;3,67;19,55;14,03;17,98;0,72;0,28;1,08;9,55;10,15;;15,00;2,93;0,00;0,00
NTCO3;22,63;;58,73;1,12;0,53;64,87;2,39;1,31;32,17;39,48;7,58;0,26;0,77;7,18;-0,75;1,34;1,90;0,90;0,74;0,47;0,52;0,69;36,13;0,63;225.595.384,56;20,19;0,38;-0,35;30.861.310.566,69
NUTR3;253,00;;7,60;1,58;0,40;15,63;6,81;3,65;4,07;5,35;1,28;0,50;0,28;1,17;-1,08;2,20;20,85;5,28;21,39;0,25;0,75;1,45;16,61;;25.300,00;159,65;33,28;-0,08;32.369.832,00
ODER4;857,15;0,10;67,55;27,27;13,20;32,79;26,03;22,56;58,53;59,32;0,79;0,37;15,24;42,56;-41,43;1,84;40,38;19,55;21,32;0,48;0,52;0,87;8,36;;37.500,00;31,43;12,69;0,53;9.674.742.907,90
ODPV3;12,27;3,84;17,33;5,78;3,44;59,12;28,73;20,70;12,49;11,87;-0,64;-0,30;3,59;-2.592,14;-4,95;1,00;33,36;19,83;31,12;0,59;0,40;0,96;7,15;11,26;18.953.371,17;2,13;0,71;2,20;6.540.238.889,52
OFSA3;23,09;2,06;11,51;1,95;1,11;50,64;16,76;12,62;8,66;9,66;0,98;0,22;1,45;2,80;-2,82;2,86;16,95;9,61;12,70;0,57;0,43;0,76;6,45;9,29;239.601,31;11,80;2,00;0,39;1.243.524.588,30
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,84;;-1,03;5,22;0,07;26,16;-101,51;-268,61;-2,73;-16,61;-13,83;26,49;2,77;0,24;-0,19;1,97;-506,67;-7,12;-17,09;0,01;0,99;0,03;-19,43;;55.907.377,94;0,16;-0,82;0,02;5.635.567.308,63
OIBR4;1,42;;-1,73;8,76;0,12;26,16;-101,51;-268,61;-4,58;-16,61;-13,83;26,49;4,65;0,41;-0,32;1,97;-506,67;-7,12;-17,09;0,01;0,99;0,03;-19,43;;877.828,06;0,16;-0,82;0,03;5.635.567.308,63
OMGE3;27,57;;-32,03;1,59;0,54;32,44;34,59;-10,67;9,88;19,16;9,27;1,49;3,42;10,86;-0,62;1,72;-4,95;-1,69;5,16;0,34;0,63;0,16;50,40;;49.236.324,19;17,39;-0,86;0,00;5.521.562.588,85
ONCO3;9,97;;-20,80;-94,05;1,59;30,28;-2,79;-10,88;-81,07;-100,37;-19,87;;2,26;34,26;-2,44;1,15;-452,25;-7,66;-7,05;-0,02;0,93;0,70;;;15.687.532,97;-0,11;-0,48;;4.923.855.766,62
OPCT3;2,52;;-8,76;0,56;0,25;13,90;0,89;-7,69;75,42;150,65;75,54;0,56;0,67;2,16;-0,35;1,69;-6,39;-2,85;0,16;0,45;0,55;0,37;;;2.735.877,75;4,48;-0,29;0,00;499.898.885,00
ORVR3;25,19;;-27,62;4,80;1,94;37,54;14,56;-16,99;32,22;36,77;4,65;0,69;4,69;12,21;-3,25;1,66;-17,39;-7,04;4,84;0,40;0,58;0,41;;;9.691.208,64;5,24;-0,91;0,13;1.791.965.247,60
OSXB3;7,27;;-0,06;0,00;0,01;93,50;1.235,15;-1.891,70;0,09;17,99;17,90;;1,09;-0,04;-0,01;0,02;-7,67;-16,80;8,15;-2,19;3,19;0,01;-44,40;;96.231,25;-1.652,33;-126,74;0,00;22.886.236,26
PARD3;20,40;1,40;12,30;3,10;1,26;31,44;18,63;10,92;7,21;7,33;0,19;0,08;1,34;10,97;-2,03;1,43;25,19;10,24;23,82;0,41;0,59;0,94;14,12;21,06;6.456.191,39;6,57;1,66;0,18;2.641.838.261,15
PATI3;70,34;3,37;5,08;1,92;0,85;20,67;18,60;13,05;3,57;4,10;0,56;0,30;0,66;1,51;-6,44;2,81;37,71;16,66;20,20;0,44;0,56;1,28;17,73;97,35;13.834,67;36,71;13,84;0,03;1.672.401.516,68
PATI4;59,61;3,98;4,31;1,62;0,72;20,67;18,60;13,05;3,02;4,10;0,56;0,30;0,56;1,28;-5,46;2,81;37,71;16,66;20,20;0,44;0,56;1,28;17,73;97,35;13.020,75;36,71;13,84;0,03;1.672.401.516,68
PCAR3;20,26;10,82;3,36;0,41;0,11;37,39;4,45;6,23;4,70;9,30;4,60;0,40;0,21;-154,87;-0,16;1,00;12,18;3,32;3,86;0,27;0,67;0,53;6,62;43,54;51.562.956,61;49,20;5,99;0,02;5.409.736.635,60
PCAR4;72,11;;12,03;1,47;0,40;37,39;4,45;6,23;16,85;9,30;4,60;0,40;0,75;-555,06;-0,56;1,00;12,18;3,32;3,86;0,27;0,67;0,53;6,62;43,54;;49,20;5,99;0,08;5.409.736.635,60
PDGR3;1,43;;-0,20;-0,01;0,06;27,57;-60,21;-101,39;-0,33;-4,63;-4,30;;0,20;-0,03;-0,24;0,29;-7,38;-28,92;5,89;-3,92;4,96;0,29;-35,22;;1.171.642,11;-97,96;-7,23;0,00;81.393.512,65
